name,full_name,topics,description,created_at,stargazers_count,forks_count,license,days_since_created,avg_forks_per_day,avg_stars_per_day,categories
langchain,langchain-ai/langchain,no topic,🦜🔗 Build context-aware reasoning applications,2022-10-17,81425,12434,MIT License,540,23.0,151.0,Applications
ChatGPT-Next-Web,ChatGPTNextWeb/ChatGPT-Next-Web,"chatgpt, cross-platform, desktop, fe, gemini, gemini-pro, gemini-server, gemini-ultra, groq, nextjs, ollama, react, tauri, tauri-app, vercel, webui",A cross-platform ChatGPT/Gemini UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 ChatGPT/Gemini 应用。,2023-03-10,66548,54259,MIT License,396,137.0,168.0,Applications
awesome-machine-learning,josephmisiti/awesome-machine-learning,no topic,"A curated list of awesome Machine Learning frameworks, libraries and software.",2014-07-15,63304,14447,Other,3556,4.0,18.0,Lists
awesome-cpp,fffaraz/awesome-cpp,"awesome, awesome-list, c, c-plus-plus, cpp, cpp-library, cppcon, libraries, list, lists, programming-tutorial, resources","A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.",2014-07-17,55101,7613,MIT License,3554,2.0,16.0,Lists
llama.cpp,ggerganov/llama.cpp,"ggml, llama",LLM inference in C/C++,2023-03-10,54581,7703,MIT License,396,19.0,138.0,Tutorials
ollama,ollama/ollama,"go, golang, llama, llama2, llm, llms, mistral, ollama","Get up and running with Llama 2, Mistral, Gemma, and other large language models.",2023-06-26,53219,3691,MIT License,288,13.0,185.0,Tutorials
private-gpt,zylon-ai/private-gpt,no topic,"Interact with your documents using the power of GPT, 100% privately, no data leaks",2023-05-02,51134,6804,Apache License 2.0,343,20.0,149.0,Applications
annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,"attention, deep-learning, deep-learning-tutorial, gan, literate-programming, machine-learning, neural-networks, optimizers, pytorch, reinforcement-learning, transformer, transformers","🧑‍🏫 60 Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",2020-08-25,46829,4903,MIT License,1323,4.0,35.0,Tutorials
professional-programming,charlax/professional-programming,"architecture, computer-science, concepts, documentation, engineer, learning, lessons-learned, professional, programmer, programming-language, read-articles, scalability, software-engineering",A collection of learning resources for curious software engineers,2015-11-07,45023,3590,MIT License,3076,1.0,15.0,Tutorials
Prompt-Engineering-Guide,dair-ai/Prompt-Engineering-Guide,"chatgpt, deep-learning, language-model, openai, prompt-engineering","🐙 Guides, papers, lecture, notebooks and resources for prompt engineering",2022-12-16,43112,4081,MIT License,480,9.0,90.0,Tutorials
generative-ai-for-beginners,microsoft/generative-ai-for-beginners,"ai, azure, chatgpt, dall-e, generative-ai, generativeai, gpt, language-model, llms, openai, prompt-engineering, semantic-search, transformers","18 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/",2023-06-19,40273,21598,MIT License,295,73.0,137.0,Tutorials
n8n,n8n-io/n8n,"apis, automated, automation, cli, data-flow, development, docker, iaas, integration-framework, integrations, ipaas, low-code, low-code-development-platform, low-code-platform, n8n, node, self-hosted, typescript, workflow, workflow-automation",Free and source-available fair-code licensed workflow automation tool. Easily automate tasks across different services.,2019-06-22,40135,4866,Other,1753,3.0,23.0,Infrastructure
MetaGPT,geekan/MetaGPT,"agent, gpt, hacktoberfest, llm, metagpt, multi-agent","🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",2023-06-30,38304,4502,MIT License,284,16.0,135.0,Model development
ColossalAI,hpcaitech/ColossalAI,"ai, big-model, data-parallelism, deep-learning, distributed-computing, foundation-models, heterogeneous-training, hpc, inference, large-scale, model-parallelism, pipeline-parallelism","Making large AI models cheaper, faster and more accessible",2021-10-28,37648,4227,Apache License 2.0,894,5.0,42.0,Model development
kong,Kong/kong,"ai, ai-gateway, api-gateway, api-management, apis, artificial-intelligence, cloud-native, consul, devops, docker, kong, kubernetes, kubernetes-ingress, kubernetes-ingress-controller, luajit, microservice, microservices, nginx, reverse-proxy, serverless",🦍 The Cloud-Native API Gateway and AI Gateway.,2014-11-17,37377,4667,Apache License 2.0,3431,1.0,11.0,Infrastructure
text-generation-webui,oobabooga/text-generation-webui,no topic,"A Gradio web UI for Large Language Models. Supports transformers, GPTQ, AWQ, EXL2, llama.cpp (GGUF), Llama models.",2022-12-21,35320,4708,GNU Affero General Public License v3.0,475,10.0,74.0,Model repo
FastChat,lm-sys/FastChat,no topic,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",2023-03-19,33287,4076,Apache License 2.0,387,11.0,86.0,Model repo
quivr,QuivrHQ/quivr,"ai, api, chatbot, chatgpt, database, docker, frontend, groq, html, javascript, llm, openai, postgresql, privacy, rag, react, rest-api, security, typescript, vector","Your GenAI Second Brain 🧠  A personal productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Local & Private alternative to OpenAI GPTs & ChatGPT powered by retrieval-augmented generation.",2023-05-12,31587,3052,Apache License 2.0,333,9.0,95.0,Applications
llama_index,run-llama/llama_index,"agents, application, data, fine-tuning, framework, llamaindex, llm, rag, vector-database",LlamaIndex is a data framework for your LLM applications,2022-11-02,30328,4066,MIT License,524,8.0,58.0,Model repo
spaCy,explosion/spaCy,"ai, artificial-intelligence, cython, data-science, deep-learning, entity-linking, machine-learning, named-entity-recognition, natural-language-processing, neural-network, neural-networks, nlp, nlp-library, python, spacy, text-classification, tokenization",💫 Industrial-strength Natural Language Processing (NLP) in Python,2014-07-03,28617,4263,MIT License,3568,1.0,8.0,Tutorials
llm-course,mlabonne/llm-course,"course, large-language-models, llm, machine-learning, roadmap",Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,2023-06-17,27702,2810,Apache License 2.0,297,9.0,93.0,Tutorials
gpt-pilot,Pythagora-io/gpt-pilot,"ai, codegen, coding-assistant, developer-tools, gpt-4, research-project",The first real AI developer,2023-08-16,27152,2684,MIT License,237,11.0,115.0,Model development
milvus,milvus-io/milvus,"anns, cloud-native, distributed, embedding-database, embedding-similarity, embedding-store, faiss, golang, hnsw, image-search, llm, nearest-neighbor-search, tensor-database, vector-database, vector-search, vector-similarity, vector-store","A cloud-native vector database, storage for next generation AI applications",2019-09-16,26411,2542,Apache License 2.0,1667,2.0,16.0,Applications
lobe-chat,lobehub/lobe-chat,"ai, azure-openai, chat, chatglm, chatgpt, claude, dalle-3, function-calling, gemini, gpt, gpt-4, gpt-4-vision, llama2, nextjs, ollama, openai, tts","🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Perplexity / Bedrock / Azure / Mistral / Ollama ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application.",2023-05-21,26395,5941,MIT License,324,18.0,81.0,Model repo
Langchain-Chatchat,chatchat-space/Langchain-Chatchat,"chatbot, chatchat, chatglm, chatglm-6b, chatglm2-6b, chatgpt, embedding, faiss, fastchat, gpt, knowledge-base, langchain, langchain-chatchat, langchain-chatglm, llama, llm, milvus, pgvector, streamlit, text2vec","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain ",2023-03-31,26368,4633,Apache License 2.0,375,12.0,70.0,Model repo
chatgpt-on-wechat,zhayujie/chatgpt-on-wechat,"ai, chatglm-4, chatgpt, claude3, dingtalk, feishu-bot, gemini, glm, gpt-4, linkai, llm, openai, python3, qwen, rag, wechat, wechat-bot, wenxinyiyan, xunfei-spark",基于大模型搭建的聊天机器人，同时支持 企业微信、微信 公众号、飞书、钉钉 等接入，可选择GPT3.5/GPT4.0/Claude/文心一言/讯飞星火/通义千问/Gemini/GLM-4/Claude/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,2022-08-07,24167,6622,MIT License,611,11.0,40.0,Model repo
autogen,microsoft/autogen,"agent-based-framework, agent-oriented-programming, agentic, agentic-agi, chat, chat-application, chatbot, chatgpt, gpt, gpt-35-turbo, gpt-4, llm-agent, llm-framework, llm-inference, llmops",A programming framework for agentic AI. Discord: https://aka.ms/autogen-dc. Roadmap: https://aka.ms/autogen-roadmap,2023-08-18,24113,3355,Creative Commons Attribution 4.0 International,235,14.0,103.0,Model repo
paper-reading,mli/paper-reading,"deep-learning, paper, reading-list",深度学习经典、新论文逐段精读,2021-10-22,23972,2269,Apache License 2.0,900,3.0,27.0,Tutorials
Flowise,FlowiseAI/Flowise,"artificial-intelligence, chatgpt, javascript, large-language-models, llm, low-code, no-code, react, typescript",Drag & drop UI to build your customized LLM flow,2023-03-31,23059,11784,Apache License 2.0,375,31.0,61.0,Applications
JARVIS,microsoft/JARVIS,"deep-learning, platform, pytorch","JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf",2023-03-30,22921,1907,MIT License,376,5.0,61.0,Model repo
mindsdb,mindsdb/mindsdb,"ai, ai-agents, artificial-intelligence, auto-gpt, chatbot, database, forecasting, gpt, gpt4all, hacktoberfest, huggingface, llm, machine-learning, ml, mongodb, mysql, postgres, semantic-search, timeseries",The platform for customizing AI from enterprise data,2018-08-02,21079,2671,Other,2077,1.0,10.0,Applications
chatgpt-retrieval-plugin,openai/chatgpt-retrieval-plugin,"chatgpt, chatgpt-plugins",The ChatGPT Retrieval Plugin lets you easily find personal or work documents by asking questions in natural language.,2023-03-23,20803,3669,MIT License,383,10.0,54.0,Applications
dify,langgenius/dify,"ai, backend-as-a-service, gpt, gpt-4, langchain, llama2, llm, openai, orchestration, python, rag","Dify is an open-source LLM app development platform. It has the core tech required to build AI-native apps, including RAG, agent capabilities, model management, observability and more, packaged into one intuitive interface.",2023-04-12,19117,2494,Other,363,7.0,53.0,Model development
localGPT,PromtEngineer/localGPT,no topic,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private. ,2023-05-24,18995,2099,Apache License 2.0,321,7.0,59.0,Applications
LocalAI,mudler/LocalAI,"ai, alpaca, api, api-rest, audio-generation, coqui, falcon, gemma, gpt4all, image-generation, kubernetes, llama, llm, mamba, mistral, musicgen, rwkv, stable-diffusion, text-generation, tts",":robot: The free, Open Source OpenAI alternative. Self-hosted, community-driven and local-first. Drop-in replacement for OpenAI running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. It allows to generate Text, Audio, Video, Images. Also with voice cloning capabilities.",2023-03-18,18659,1364,MIT License,388,4.0,48.0,Model repo
awesome-dotnet,quozd/awesome-dotnet,"awesome, awesome-list, clr, csharp, dotnet, fsharp","A collection of awesome .NET libraries, tools, frameworks and software",2014-07-16,18231,2582,Creative Commons Zero v1.0 Universal,3555,1.0,5.0,Lists
unilm,microsoft/unilm,"beit, beit-3, bitnet, deepnet, document-ai, foundation-models, kosmos, kosmos-1, layoutlm, layoutxlm, llm, minilm, mllm, multimodal, nlp, pre-trained-model, textdiffuser, trocr, unilm, xlm-e","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities",2019-07-23,18163,2350,MIT License,1722,1.0,11.0,Model development
semantic-kernel,microsoft/semantic-kernel,"ai, artificial-intelligence, llm, openai, sdk",Integrate cutting-edge LLM technology quickly and easily into your apps,2023-02-27,17823,2594,MIT License,407,6.0,44.0,Applications
vllm,vllm-project/vllm,"amd, cuda, gpt, inference, inferentia, llama, llm, llm-serving, llmops, mlops, model-serving, pytorch, rocm, trainium, transformer",A high-throughput and memory-efficient inference and serving engine for LLMs,2023-02-09,17244,2214,Apache License 2.0,425,5.0,41.0,Model development
Chinese-LLaMA-Alpaca,ymcui/Chinese-LLaMA-Alpaca,"alpaca, alpaca-2, large-language-models, llama, llama-2, llm, lora, nlp, plm, pre-trained-language-models, quantization",中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs),2023-03-15,16990,1757,Apache License 2.0,391,4.0,43.0,Model development
mlc-llm,mlc-ai/mlc-llm,"language-model, llm, machine-learning-compilation, tvm","Enable everyone to develop, optimize and deploy AI models natively on everyone's devices.",2023-04-29,16511,1260,Apache License 2.0,346,4.0,48.0,Model development
jan,janhq/jan,"electron, gpt, llama2, llamacpp, localai, self-hosted",Jan is an open source alternative to ChatGPT that runs 100% offline on your computer,2023-08-17,16220,881,GNU Affero General Public License v3.0,236,4.0,69.0,Applications
LLaMA-Factory,hiyouga/LLaMA-Factory,"agent, ai, baichuan, chatglm, fine-tuning, gpt, instruction-tuning, language-model, large-language-models, llama, llm, lora, mistral, moe, peft, qlora, quantization, qwen, rlhf, transformers",Unify Efficient Fine-Tuning of 100+ LLMs,2023-05-28,15716,1908,Apache License 2.0,317,6.0,50.0,Model development
ChatGLM2-6B,THUDM/ChatGLM2-6B,"chatglm, chatglm-6b, large-language-models, llm",ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型,2023-06-24,15392,1823,Other,290,6.0,53.0,Model repo
SuperAGI,TransformerOptimus/SuperAGI,"agents, agi, ai, artificial-general-intelligence, artificial-intelligence, autonomous-agents, gpt-4, hacktoberfest, llm, llmops, nextjs, openai, pinecone, python, superagi","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.",2023-05-13,14292,1691,MIT License,332,5.0,43.0,Model repo
ML-YouTube-Courses,dair-ai/ML-YouTube-Courses,"ai, data-science, deep-learning, machine-learning, natural-language-processing, nlp",📺 Discover the latest machine learning / AI courses on YouTube.,2021-06-25,14255,1701,Creative Commons Zero v1.0 Universal,1019,2.0,14.0,Tutorials
kubesphere,kubesphere/kubesphere,"argocd, cloud-native, cncf, container-management, devops, ebpf, hacktoberfest, istio, jenkins, k8s, kubernetes, kubernetes-platform-solution, kubesphere, llm, multi-cluster, observability, servicemesh","The container platform tailored for Kubernetes multi-cloud, datacenter, and edge management ⎈ 🖥 ☁️",2018-04-21,14241,2074,Apache License 2.0,2180,1.0,7.0,Infrastructure
DocsGPT,arc53/DocsGPT,"ai, gpt, hacktoberfest, hacktoberfest2023, natural-language-processing, python, react, web-app","GPT-powered chat for documentation, chat with your documents",2023-02-02,14105,1386,MIT License,432,3.0,33.0,Applications
awesome-neovim,rockerBOO/awesome-neovim,"awesome, awesome-list, neovim, neovim-plugins, nvim-lua",Collections of awesome neovim plugins.,2020-09-18,13839,624,Creative Commons Zero v1.0 Universal,1299,0.0,11.0,Model repo
Awesome-LLM,Hannibal046/Awesome-LLM,no topic,Awesome-LLM: a curated list of Large Language Model,2023-02-17,13779,1056,Creative Commons Zero v1.0 Universal,417,3.0,33.0,Lists
